id,date,Minneapolis
1108,11/16/12,90
1109,11/16/12,90
1110,11/16/12,90
1111,11/16/12,90
1112,11/16/12,90
1113,11/16/12,63
1114,11/16/12,63
1115,11/16/12,63
1116,11/16/12,63
1117,11/17/12,63
1118,11/17/12,63
1119,11/17/12,63
1120,11/17/12,63
1121,11/17/12,63
1122,11/17/12,63
1123,11/17/12,63
1124,11/17/12,78
1125,11/17/12,78
1126,11/17/12,78
1127,11/17/12,78
1128,11/17/12,58
1129,11/17/12,58
1130,11/17/12,62
1131,11/17/12,62
1132,11/17/12,58
1133,11/17/12,58
1134,11/17/12,51
1135,11/17/12,44
1136,11/17/12,38
1137,11/17/12,30
1138,11/17/12,33
1139,11/17/12,38
1140,11/17/12,44
1141,11/18/12,47
1142,11/18/12,51
1143,11/18/12,59
1144,11/18/12,64
1145,11/18/12,69
1146,11/18/12,74
1147,11/18/12,74
1148,11/18/12,74
1149,11/18/12,80
1150,11/18/12,74
1151,11/18/12,74
1152,11/18/12,74
1153,11/18/12,80
1154,11/18/12,80
1155,11/18/12,80
1156,11/18/12,
1157,11/18/12,65
1158,11/18/12,53
1159,11/18/12,46
1160,11/18/12,50
1161,11/18/12,50
1162,11/18/12,50
1163,11/18/12,50
1164,11/18/12,53
1165,11/19/12,53
1166,11/19/12,57
1167,11/19/12,53
1168,11/19/12,57
1169,11/19/12,53
1170,11/19/12,53
1171,11/19/12,57
1172,11/19/12,57
1173,11/19/12,
1174,11/19/12,
1175,11/19/12,
1176,11/19/12,52
1177,11/19/12,56
1178,11/19/12,56
1179,11/19/12,60
1180,11/19/12,56
1181,11/19/12,52
1182,11/19/12,46
1183,11/19/12,40
1184,11/19/12,37
1185,11/19/12,37
1186,11/19/12,
1187,11/19/12,46
1188,11/19/12,46
1189,11/20/12,43
1190,11/20/12,50
1191,11/20/12,53
1192,11/20/12,53
1193,11/20/12,57
1194,11/20/12,61
1195,11/20/12,61
1196,11/20/12,61
1197,11/20/12,61
1198,11/20/12,57
1199,11/20/12,53
1200,11/20/12,57
1201,11/20/12,53
1202,11/20/12,61
1203,11/20/12,66
1204,11/20/12,66
1205,11/20/12,57
1206,11/20/12,54
1207,11/20/12,50
1208,11/20/12,50
1209,11/20/12,47
1210,11/20/12,47
1211,11/20/12,47
1212,11/20/12,50
1213,11/21/12,57
1214,11/21/12,61
1215,11/21/12,66
1216,11/21/12,70
1217,11/21/12,75
1218,11/21/12,81
1219,11/21/12,81
1220,11/21/12,75
1221,11/21/12,80
1222,11/21/12,80
1223,11/21/12,86
1224,11/21/12,93
1225,11/21/12,
1226,11/21/12,
1227,11/21/12,
1228,11/21/12,86
1229,11/21/12,75
1230,11/21/12,70
1231,11/21/12,57
1232,11/21/12,50
1233,11/21/12,
1234,11/21/12,40
1235,11/21/12,53
1236,11/21/12,49
1237,11/22/12,52
1238,11/22/12,60
1239,11/22/12,
1240,11/22/12,
1241,11/22/12,70
1242,11/22/12,
1243,11/22/12,
1244,11/22/12,
1245,11/22/12,
1246,11/22/12,
1247,11/22/12,
1248,11/22/12,
1249,11/22/12,61
1250,11/22/12,61
1251,11/22/12,65
1252,11/22/12,61
1253,11/22/12,57
1254,11/22/12,50
1255,11/22/12,47
1256,11/22/12,50
1257,11/22/12,44
1258,11/22/12,41
1259,11/22/12,47
1260,11/22/12,50
1261,11/23/12,50
1262,11/23/12,50
1263,11/23/12,42
1264,11/23/12,44
1265,11/23/12,48
1266,11/23/12,51
1267,11/23/12,54
1268,11/23/12,54
1269,11/23/12,58
1270,11/23/12,62
1271,11/23/12,62
1272,11/23/12,66
1273,11/23/12,66
1274,11/23/12,66
1275,11/23/12,71
1276,11/23/12,71
1277,11/23/12,66
1278,11/23/12,50
1279,11/23/12,50
1280,11/23/12,53
1281,11/23/12,61
1282,11/23/12,70
1283,11/23/12,
1284,11/23/12,80
1285,11/24/12,86
1286,11/24/12,92
1287,11/24/12,86
1288,11/24/12,74
1289,11/24/12,73
1290,11/24/12,73
1291,11/24/12,73
1292,11/24/12,79
1293,11/24/12,79
1294,11/24/12,85
1295,11/24/12,85
1296,11/24/12,73
1297,11/24/12,67
1298,11/24/12,72
1299,11/24/12,67
1300,11/24/12,73
1301,11/24/12,73
1302,11/24/12,73
1303,11/24/12,68
1304,11/24/12,68
1305,11/24/12,68
